Q Q0 dL dH-dL a b dmin dmax-dmin Objective
0.666038 0.386192 0.193894 0.0222969 2.98432 2.15526 0.725021 0.94226 0.773319
0.447791 0.588093 0.567248 0.527339 1.54423 3.35976 0.038823 0.614683 0.297386
0.437212 0.770449 0.315847 0.0889305 3.57442 0.907928 0.304445 0.104939 0.420101
0.483766 0.652374 0.526456 0.587619 3.02161 3.76672 0.0865489 0.515384 0.279207
0.501165 0.923266 0.137477 0.0340731 2.96617 2.52139 0.631979 0.488457 0.860291
0.905719 0.844846 -0.00214605 0.471427 1.80558 2.79823 0.5105 0.263482 0.820747
0.571818 0.636308 0.245619 0.70773 2.60327 3.9547 0.174153 0.55448 0.423895
0.826842 0.337622 0.0749332 0.817203 1.3134 2.47606 0.141555 0.431673 0.651714
0.3042 0.64759 0.843786 0.386248 2.40086 0.923631 0.588658 0.56877 0.0955366
0.429132 0.223975 0.96169 0.260701 3.0366 3.44336 0.429208 0.374308 0.356043
0.897132 0.783112 -0.143657 0.742029 1.77954 3.83222 0.313425 0.689354 0.709919
0.64107 0.757672 0.533624 0.54678 1.65177 3.991 0.718243 0.461628 0.59053
0.629079 0.339429 0.235017 0.376459 1.44064 3.09944 0.435608 0.090667 1.45562
0.898101 0.251972 0.491984 0.234954 3.11693 1.54436 -0.101795 0.976448 0.646804
0.554701 0.906204 0.726222 0.773099 1.86203 1.89785 0.615198 0.978754 0.356074
0.339528 0.675409 0.572467 0.301572 2.57783 2.31095 0.374771 0.496897 0.134382
0.920272 0.604005 0.297352 0.604586 3.71317 3.27017 0.846897 0.533453 0.754767
0.923792 0.26129 0.893051 0.342621 1.13249 2.72634 0.949721 0.445625 0.682494
0.79396 0.589458 0.682547 0.810712 2.33949 2.28578 0.0213763 0.819258 0.514818
0.560396 0.389576 -0.0564044 0.616364 1.20382 3.11779 0.0174234 0.276347 0.517275
0.329764 0.980805 -0.104566 0.387516 2.79053 0.842875 0.0357458 0.711512 0.277547
0.826567 0.562167 0.545979 0.681254 3.00633 1.27006 0.887176 0.315043 0.842365
0.919305 0.772759 0.0938255 0.295127 2.77626 1.7102 0.715989 0.218188 0.896413
0.209298 0.344407 0.165049 0.146714 3.12812 1.83506 0.470495 0.535249 0.718861
0.919921 0.718775 0.711872 0.0970745 2.04534 1.75193 0.082516 0.659219 0.619417
0.908301 0.316539 0.738549 0.441589 1.68437 3.34949 0.645496 0.567039 0.658266
0.252708 0.220414 0.682816 0.534477 1.47024 1.45628 0.774498 0.270131 0.52824
0.90087 0.905061 0.822337 0.0241065 2.34653 3.84125 0.917636 0.792016 0.669629
0.452155 0.60187 -0.0679967 0.0760161 3.63677 3.37336 0.658335 0.0760677 6.88859
0.918268 0.289597 0.114265 0.352698 1.46455 1.14915 0.473047 0.775372 0.719474
0.518665 0.477341 0.200414 0.339586 0.900819 2.17541 0.719395 0.313371 1.23489
0.359684 0.951391 0.178779 0.28837 3.71991 2.6942 0.304725 0.0544284 2.55925
0.668088 0.965236 0.0947654 0.948543 3.61127 2.32297 0.297633 0.869331 0.613515
0.897696 0.497399 0.905273 0.908154 3.86425 3.84211 0.379497 0.305784 0.5525
0.495869 0.726205 0.369286 0.0416313 1.93876 3.24384 0.70081 0.167452 1.5789
0.300638 0.83317 0.00850303 0.201221 1.54379 2.47805 0.229063 0.37941 0.258761
0.870365 0.602583 0.374484 0.448497 3.19837 3.11005 0.44081 0.104188 0.733313
0.237463 0.212768 0.350302 0.0793376 1.95961 2.8056 0.871757 0.739408 0.723815
0.205361 0.597912 0.897086 0.46491 1.27084 3.4939 0.123663 0.975431 0.440185
0.915494 0.353329 0.672478 0.790774 2.4148 1.32949 0.589847 0.514253 0.683046
0.832135 0.45221 0.641371 0.789623 2.80058 3.39152 -0.0441776 0.700687 0.534201
0.91656 0.800555 0.0344314 0.0519749 1.10538 3.75334 0.916403 0.56997 0.769692
0.231668 0.578551 0.0990355 0.261362 1.85192 1.08678 0.420178 0.889717 0.382246
0.403807 0.325986 -0.190323 0.0752739 3.46484 1.26296 0.609648 0.809632 1.32864
0.668452 0.815651 0.0504108 0.135982 2.06952 2.82528 0.511149 0.673564 0.705485
0.464944 0.247047 0.194502 0.786315 1.7057 2.32291 0.82287 0.805581 0.830557
0.255086 0.754104 0.442153 0.118789 3.82518 3.07907 0.0658933 0.0999993 1.13647
0.337409 0.796487 0.194463 0.86196 0.901433 2.98344 0.213761 0.670102 0.166482
0.492241 0.336742 0.725801 0.867219 1.41188 2.39493 0.0620448 0.247688 0.626559
0.345186 0.206929 0.130089 0.989269 2.26094 2.43248 0.933416 0.994378 0.924804
0.655149 0.331491 0.128956 0.603316 2.27481 1.72202 0.983866 0.967559 0.890374
0.460027 0.920496 -0.00620091 0.396841 2.62238 1.33761 -0.0389211 0.273874 0.279582
0.307324 0.750105 0.402932 0.799253 2.5068 1.8623 -0.0698421 0.67115 0.25983
0.404631 0.203182 -0.06009 0.56284 1.56139 3.58009 0.00934347 0.94671 0.340761
0.25127 0.824532 -0.142972 0.20417 0.877206 3.3616 0.591936 0.470691 0.936776
0.629861 0.676133 0.978923 0.476246 1.42216 1.34023 0.528378 0.529118 0.326979
0.510642 0.652096 0.939109 0.477215 2.10106 1.37416 0.958435 0.0514002 0.603235
0.921217 0.877998 0.531463 0.837418 1.25248 2.26401 0.190797 0.693042 0.636394
0.890677 0.330249 0.529528 0.86347 1.38862 3.34704 0.566881 0.480226 0.664534
0.741973 0.504164 0.0404899 0.753663 2.13404 1.67976 0.662454 0.813921 0.790894
0.689612 0.508472 0.100451 0.585593 3.03354 1.45169 0.71231 0.528592 0.992014
0.666722 0.386431 0.216747 0.0951788 3.51222 1.67276 0.481767 0.731944 0.74588
0.471428 0.911585 0.709771 0.465442 1.09251 3.80328 -0.199085 0.331404 0.799374
0.905062 0.489433 0.000754506 0.430024 1.56119 2.21592 0.0608367 0.880079 0.674185
0.633702 0.262462 0.372931 0.473786 3.38394 3.19982 0.487117 0.198651 0.775348
0.302625 0.46905 -0.100935 0.760957 0.927001 3.36751 0.575281 0.712455 0.650323
0.668584 0.54187 0.763165 0.677397 1.11577 3.31077 0.563058 0.924955 0.462848
0.274638 0.94679 0.494407 0.866091 3.87427 3.23676 -0.0762049 0.153753 1.17269
0.318123 0.496893 0.881657 0.91038 2.27969 2.71835 0.52125 0.696826 0.147672
0.649589 0.483821 0.816728 0.132982 2.24138 1.73401 0.22626 0.358359 0.325171
0.529004 0.978889 0.223403 0.598784 2.52396 1.2376 0.724454 0.6218 0.771662
0.719426 0.708804 0.0642117 0.769794 1.02979 3.04076 -0.0396139 0.244742 0.463658
0.862271 0.776976 0.125309 0.569303 0.886425 1.80682 -0.0984847 0.656952 0.597145
0.47886 0.883838 0.378745 0.566347 3.50254 2.93241 0.0402248 0.339958 0.295558
0.84056 0.256026 0.255916 0.107509 0.930565 1.74111 0.650242 0.454901 0.751701
0.682947 0.499028 0.791241 0.335257 3.67001 2.86788 0.203398 0.333536 0.348307
0.586141 0.281214 0.530495 0.997012 3.94828 3.04595 -0.138931 0.61702 0.328547
0.291385 0.82903 0.971619 0.137393 1.22432 1.91661 -0.025957 0.696635 0.632737
0.658959 0.527365 0.281877 0.246784 1.76008 1.72881 0.989092 0.285041 1.57376
0.943799 0.680016 0.969881 0.995529 1.93627 1.50873 0.371004 0.437451 0.6264
0.926444 0.358235 0.856759 0.681914 2.76024 2.04073 0.804813 0.600101 0.685865
0.363667 0.857244 0.282366 0.39315 3.10098 1.50535 0.695164 0.671587 0.605247
0.77273 0.722877 0.779455 0.467669 3.3541 2.54179 0.974382 0.0420526 2.00401
0.870837 0.681193 0.846591 0.696473 1.38864 3.17448 0.707507 0.0217581 0.399214
0.578788 0.91459 0.550908 0.525421 3.41911 1.52633 -0.115602 0.692917 0.298427
0.264738 0.209392 -0.188027 0.17995 1.78357 2.34316 0.982292 0.0828068 4.4459
0.608201 0.576432 -0.0477291 0.217344 3.37209 1.05392 -0.183787 0.40898 0.512995
0.78532 0.487739 0.701942 0.50365 0.860852 1.24672 0.0304126 0.660461 0.461301
0.64726 0.950892 0.452927 0.974722 1.78808 1.49226 -0.0432501 0.245425 0.352416
0.879854 0.742622 0.0196779 0.281363 3.89588 0.851959 -0.195845 0.846766 0.67201
0.790265 0.364553 0.910507 0.534774 1.5702 1.1353 -0.100488 0.822096 0.473976
0.878499 0.3321 0.351589 0.627953 0.919757 1.92095 0.202975 0.798532 0.634498
0.355604 0.290512 0.286576 0.633824 1.04126 3.67664 0.313713 0.367911 0.229383
0.80708 0.478563 0.64617 0.894117 2.87085 3.72832 -0.146918 0.592806 0.470194
0.373312 0.31674 0.840242 0.538899 1.23012 2.95798 0.46528 0.476715 0.246072
0.267843 0.586365 0.77023 0.792875 3.2741 2.61363 0.483073 0.641556 0.121038
0.23949 0.666419 0.281331 0.471784 3.52428 1.62461 0.998751 0.139777 4.59787
0.65765 0.631313 0.628212 0.0321794 1.62566 2.17177 0.712409 0.528703 0.561209
0.740459 0.36884 0.620179 0.589777 0.971708 2.57323 0.386174 0.332501 0.452869
0.88866 0.362375 -0.0336942 0.0771557 2.71607 3.18155 0.458476 0.0372037 2.95269
0.671945 0.576126 0.861485 0.440785 1.87875 3.0289 0.435202 0.836679 0.429146
0.637234 0.418527 0.940691 0.316599 2.55499 1.17332 -0.163245 0.882194 0.348283
0.378576 0.5808 0.842548 0.0271027 2.06507 3.72988 0.0239754 0.47582 0.584934
0.784073 0.910634 -0.145217 0.63664 1.72421 2.45678 0.072169 0.28418 0.722299
0.6716 0.371444 0.505505 0.519121 3.88471 3.31919 0.980712 0.351831 1.05644
0.496847 0.80042 0.647908 0.0155686 3.20894 1.00067 -0.00943325 0.527302 0.283203
0.325697 0.893913 -0.00259932 0.91355 1.43638 1.34832 0.187653 0.503795 0.177659
0.517124 0.860358 0.793733 0.913847 3.88805 3.07723 0.178983 0.694182 0.280582
0.321782 0.701354 0.444389 0.291672 2.06837 3.30176 -0.115767 0.89936 0.284845
0.702394 0.418618 0.869284 0.528096 3.48474 1.86608 0.0337423 0.894274 0.4475
0.346267 0.504205 0.321817 0.538523 1.62932 3.79857 0.876996 0.152191 9.08011
0.421664 0.884797 0.60377 0.777062 0.960047 2.17609 0.148175 0.25795 0.623337
0.678211 0.759346 0.586105 0.811637 2.77676 2.38874 0.65816 0.88907 0.578908
0.20479 0.39864 -0.125113 0.0122733 3.7022 3.88889 -0.0648859 0.419039 0.259129
0.475398 0.710422 0.728891 0.0785584 0.955076 1.26687 0.169065 0.248948 0.587881
0.234983 0.213614 0.535436 0.363621 1.64962 3.69758 -0.171884 0.128035 1.30598
0.361014 0.778232 0.103039 0.468375 2.1705 2.46862 -0.0470765 0.544533 0.142785
0.558852 0.235891 0.168515 0.124596 1.78605 2.95211 -0.189217 0.676623 0.334652
0.343328 0.597301 0.569657 0.964437 2.10618 3.0593 0.0464227 0.421138 0.448299
0.357218 0.493405 0.636083 0.064902 1.16289 3.25418 0.863513 0.47894 0.398834
0.50233 0.24811 0.358647 0.779584 1.28506 2.85052 0.0691881 0.662495 0.276312
0.262923 0.383829 0.313952 0.768287 3.72302 3.72477 0.261847 0.736443 0.188777
0.629666 0.258065 -0.0709644 0.826591 2.44528 3.18779 0.316439 0.643628 0.748806
0.395255 0.229169 -0.0852625 0.655262 1.16109 1.42342 0.86261 0.149141 18.9739
0.836304 0.579912 0.926044 0.91083 1.38552 3.10754 -0.188478 0.200439 0.41487
0.736646 0.636045 -0.0166234 0.682826 3.37181 1.76309 0.356323 0.99738 0.718103
0.317083 0.872987 0.64562 0.540626 1.46869 1.3918 0.483676 0.772025 0.155564
0.607576 0.434595 0.35745 0.776605 3.24625 1.73644 0.724402 0.297663 1.13082
0.759705 0.82433 0.837381 0.745812 2.94392 1.60488 0.474672 0.104092 0.382657
0.310637 0.927835 0.58025 0.123657 2.43089 3.713 -0.181377 0.842513 0.478679
0.34472 0.883448 0.118321 0.652764 3.6478 1.75619 0.979925 0.0214007 3.04258
0.902557 0.341513 0.904378 0.937905 1.29563 1.61409 0.240792 0.616286 0.59444
0.428116 0.857418 0.668739 0.810635 1.61605 3.46254 0.155068 0.181839 0.853103
0.405488 0.385469 0.177023 0.0203966 1.58701 1.18527 -0.0235611 0.239129 0.169352
0.48408 0.549717 0.826515 0.570848 1.81033 1.66313 0.935244 0.648599 0.466193
0.898593 0.445293 0.289494 0.359781 2.09405 1.25319 0.537389 0.628381 0.718973
0.891166 0.748113 0.46862 0.114389 3.03904 2.31575 0.860236 0.489525 0.744647
0.701148 0.77743 0.340623 0.170396 2.10189 2.34097 0.834354 0.160724 1.66583
0.417423 0.835855 0.712044 0.193027 2.52738 1.78071 0.253677 0.984213 0.175401
0.295813 0.689055 0.321785 0.580658 2.73426 1.28661 0.14424 0.756607 0.104905
0.744658 0.87647 0.139153 0.113623 3.15461 2.26947 0.634326 0.401666 0.890373
0.34051 0.946272 0.715807 0.388313 2.55904 3.92739 0.0841363 0.276377 0.853879
0.603597 0.285964 0.592914 0.559127 3.79141 2.60196 0.846662 0.87178 0.696879
0.385928 0.801948 0.946319 0.206064 1.95807 2.05296 0.158399 0.369935 0.687655
0.413773 0.41578 0.944089 0.600831 3.02588 2.68781 0.266022 0.881955 0.216605
0.495728 0.951311 0.50963 0.483567 1.02246 3.85286 0.225556 0.29507 0.377704
0.975116 0.525989 0.300035 0.413312 1.34705 3.1589 0.700488 0.949961 0.705471
0.528706 0.635273 -0.1223 0.0937055 2.84097 1.15959 -0.155289 0.769768 0.507724
0.503496 0.70464 0.11183 0.630077 2.63531 2.4233 0.169461 0.608994 0.43776
0.928249 0.71352 0.575353 0.603307 2.30767 3.90519 0.64331 0.156241 0.70179
0.789277 0.570889 -0.172192 0.663086 3.90576 1.36061 0.0460069 0.268684 0.828702
0.353284 0.612469 0.306609 0.92252 2.40296 3.32494 0.936702 0.280526 2.4464
0.320868 0.557703 0.701831 0.190272 3.64559 1.95063 0.950687 0.378012 0.788653
0.802137 0.782731 0.553139 0.429626 2.37803 3.90497 0.907299 0.273807 0.830765
0.608404 0.627498 0.146223 0.632316 2.91452 1.75205 0.601302 0.913852 0.731074
0.39695 0.60016 0.722804 0.968056 3.36487 3.12696 0.843911 0.517481 0.436928
