Q,Q0,dL,dH-dL,a,b,dmin,dmax-dmin,Objective
0.592854,0.776639,0.396734,0.207616,2.60004,2.05416,0.0366059,0.669335,0.354178
0.93344,0.448678,-0.0274942,0.65166,1.46211,1.0527,-0.0251497,0.840325,0.689896
0.605545,0.624369,-0.0985563,0.523541,2.44514,1.89924,0.712912,0.740665,0.961589
0.679999,0.755036,0.451243,0.733398,1.44956,3.95416,0.370916,0.654801,0.486672
0.249018,0.606214,0.576339,0.776668,2.09274,1.20606,0.374827,0.944578,0.0907031
0.76121,0.941144,0.774471,0.0594542,3.69796,2.57294,0.473006,0.332226,0.469647
0.31891,0.477583,-0.129585,0.960212,3.56016,3.32969,0.664987,0.787554,1.03117
0.971712,0.422761,0.516125,0.652367,1.97261,3.30856,0.553644,0.659855,0.696191
0.34839,0.593337,0.220396,0.961573,3.98003,2.37314,0.895715,0.778425,0.95946
0.228353,0.948664,0.000744474,0.15757,2.51519,2.99556,0.980434,0.0403846,3.42333
0.471545,0.412926,0.759251,0.489951,3.32482,3.55971,0.248954,0.0133383,2.26983
0.237207,0.706171,0.961887,0.570053,0.907517,2.2144,0.940354,0.739915,0.172812
0.50338,0.800803,0.315394,0.0381875,3.07203,2.58441,0.797492,0.64936,0.747577
0.44354,0.203826,-0.152294,0.431396,1.545,2.75721,-0.0751903,0.969237,0.401441
0.828617,0.533671,0.811352,0.482765,1.89109,0.938911,-0.0900389,0.577023,0.486616
0.200068,0.450563,-0.0675137,0.572904,0.894176,3.62691,0.117804,0.768844,0.118344
0.558328,0.802243,-0.179358,0.921561,1.75896,3.52463,0.0962292,0.877511,0.501157
0.895841,0.369161,-0.0713225,0.299714,3.25599,1.02744,0.351676,0.907473,0.742141
0.441545,0.94796,0.905703,0.444475,2.06331,0.819367,-0.199355,0.118893,1.57509
0.93349,0.334376,0.996295,0.0222734,1.48213,3.18438,0.962035,0.131963,0.665143
0.632884,0.46455,0.950059,0.485616,3.31071,1.80606,0.271349,0.416878,0.330592
0.670618,0.488727,0.495538,0.41112,1.63785,1.08477,0.188915,0.597488,0.462544
0.330048,0.871866,0.00480218,0.897651,3.32891,3.96254,0.294454,0.0358214,7.50965
0.462807,0.46287,0.422996,0.409594,2.12932,2.47537,0.0419484,0.449076,0.24173
0.512163,0.315379,0.883386,0.547076,1.60197,1.04752,-0.108183,0.408104,0.478039
0.586374,0.933741,0.957374,0.239998,2.19442,3.786,0.398509,0.41958,0.344043
0.407888,0.781295,0.952733,0.603891,2.68435,2.60473,0.226101,0.634399,0.372172
0.578298,0.864908,0.356498,0.93742,3.67626,3.75443,0.3516,0.849332,0.464582
0.309181,0.698258,0.629875,0.33076,1.44959,2.78736,0.938983,0.44979,0.410827
0.700452,0.345272,0.306873,0.32301,2.91449,3.38182,0.498734,0.908167,0.645207
0.989048,0.947952,0.099455,0.209586,0.934796,2.96183,-0.167377,0.237961,0.680718
0.577039,0.988562,0.491819,0.265956,2.47836,3.70397,-0.194143,0.124641,1.00648
0.876297,0.911458,0.348861,0.592813,2.42956,1.6049,-0.152066,0.224106,0.481926
0.541516,0.794085,0.598809,0.360851,1.49043,1.00972,0.351935,0.162376,0.322108
0.735221,0.911256,0.0432552,0.116299,2.30918,3.85514,0.0882763,0.95392,0.569461
0.273351,0.524242,0.284451,0.10963,2.45276,2.64023,0.624431,0.197175,1.72351
0.422475,0.683243,0.286098,0.226924,2.32085,3.95594,-0.133725,0.608515,0.269055
0.782427,0.779613,0.0440441,0.321921,1.78567,2.20081,0.273629,0.834834,0.646286
0.595563,0.489452,0.950162,0.967604,3.85616,2.27086,0.995919,0.779474,0.594862
